Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	log_freq	expected_surp_linear	adjusted_surp_linear	adjusted_prob_linear	expected_surp_gam	adjusted_surp	adjusted_prob
0	0	The	1	False	FacebookAI/roberta-base	0.96859210729599	0.046038880944252	0	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	6500900	15.687451340644257	0.36307396011145876	-0.31703507916720675	1.3730507365570372	0.6392157956081483	-0.5931769146638963	1.8097286459316024
1	1	captain	1	False	FacebookAI/roberta-base	0.1735622584819793	2.526474952697754	1	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	3968	8.286269452783065	4.9949444476320615	-2.4684694949343076	11.804366376509808	5.768566666245918	-3.242091713548164	25.587186876439265
2	2	gave	1	False	FacebookAI/roberta-base	0.6407376527786255	0.642194390296936	2	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	19334	9.869672204041397	4.004005894231394	-3.361811503934458	28.841389876860617	3.626797325820024	-2.984602935523088	19.77864727877545
3	3	an	1	False	FacebookAI/roberta-base	0.1229027807712555	3.024410486221313	3	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	435700	12.984711507260117	2.0545255497866908	0.9698849364346223	0.37912665925889194	2.0491251573559044	0.9752853288654086	0.37708474504951156
4	4	order	1	False	FacebookAI/roberta-base	0.9915716648101808	0.0122110554948449	4	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	24691	10.114234583513786	3.850951789495248	-3.838740734000403	46.46692336513813	3.3230254223566957	-3.310814366861851	27.40743609387774
5	5	to	1	False	FacebookAI/roberta-base	0.9988481998443604	0.0016626298893243	5	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	3042375	14.928149347056001	0.8382667804615807	-0.8366041505722563	2.308514284135759	0.38789303629230476	-0.38623040640298045	1.4714236571930417
6	6	fire	1	False	FacebookAI/roberta-base	0.0422908253967762	4.563511371612549	6	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	15897	9.673948594133059	4.12649530554181	0.43701606607073895	0.6459610532712803	3.883665977268175	0.6798453943443739	0.5066953242729676
7	7	the	1	False	FacebookAI/roberta-base	0.6545588970184326	0.6114051342010498	7	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	6500900	15.687451340644257	0.36307396011145876	0.24833117408959104	0.7801015510730291	0.6392157956081483	-0.027810661407098536	1.0282009878619587
8	8	engines.	1	False	FacebookAI/roberta-base	0.4285039914539083	4.9229257851839066	8	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	3336	8.112827478751374	5.103489376399764	-0.18056359121585785	1.1978922944859671	5.978226654732756	-1.0553008695488497	2.8728393737724103
9	0	The	2	False	FacebookAI/roberta-base	0.9619061946868896	0.0560318678617477	0	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	6500900	15.687451340644257	0.36307396011145876	-0.3070420922497111	1.3593981869956795	0.6392157956081483	-0.5831839277464006	1.7917341105707716
10	1	captain	2	False	FacebookAI/roberta-base	0.0978178307414054	3.3537585735321045	1	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	3968	8.286269452783065	4.9949444476320615	-1.641185874099957	5.161286520524117	5.768566666245918	-2.4148080927138134	11.187623165127862
11	2	gave	2	False	FacebookAI/roberta-base	0.4324315786361694	1.209456205368042	2	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	19334	9.869672204041397	4.004005894231394	-2.794549688863352	16.355262137963745	3.626797325820024	-2.417341120451982	11.21599764643198
12	3	an	2	False	FacebookAI/roberta-base	0.0002786203694995	11.809412002563477	3	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	435700	12.984711507260117	2.0545255497866908	9.754886452776786	5.8010504440302214e-05	2.0491251573559044	9.760286845207572	5.7698069346601536e-05
13	4	command	2	False	FacebookAI/roberta-base	6.056854908820242e-05	14.01107120513916	4	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	4722	8.460199469896118	4.886094087599536	9.124977117539625	0.00010891126198419001	5.547357387161705	8.463713817977455	0.0002109870463714071
14	5	to	2	False	FacebookAI/roberta-base	0.9895538091659546	0.0151499258354306	5	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	3042375	14.928149347056001	0.8382667804615807	-0.82311685462615	2.277587695628257	0.38789303629230476	-0.37274311045687414	1.45171136245918
15	6	fire	2	False	FacebookAI/roberta-base	0.0532858967781066	4.2301025390625	6	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	15897	9.673948594133059	4.12649530554181	0.10360723352069012	0.9015793380314285	3.883665977268175	0.346436561794325	0.7072036815968713
16	7	the	2	False	FacebookAI/roberta-base	0.6455936431884766	0.631301760673523	7	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	6500900	15.687451340644257	0.36307396011145876	0.2682278005620642	0.7647335545256111	0.6392157956081483	-0.007914034934625391	1.0079454336847113
17	8	engines.	2	False	FacebookAI/roberta-base	0.374690945202019	5.193747371435165	8	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	3336	8.112827478751374	5.103489376399764	0.090257995035401	0.9136954259764016	5.978226654732756	-0.7844792832975909	2.191265615000173
18	0	He	3	False	FacebookAI/roberta-base	0.4683234691619873	1.0944228172302246	0	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	622141	13.340923641485727	1.831597847587883	-0.7371750303576583	2.0900229156817898	1.873471863441361	-0.7790490462111364	2.1793987722364188
19	1	followed	3	False	FacebookAI/roberta-base	0.1706204563379287	2.5511374473571777	1	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	11223	9.325809621782296	4.344370593032311	-1.7932331456751331	6.008848577050876	4.360111781084139	-1.8089743337269617	6.1041833653564055
20	2	the	3	False	FacebookAI/roberta-base	0.798460066318512	0.3247078359127044	2	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	6500900	15.687451340644257	0.36307396011145876	-0.03836612419875435	1.0391116071467197	0.6392157956081483	-0.31450795969544393	1.3695852539935087
21	3	order	3	False	FacebookAI/roberta-base	0.0208832509815692	5.581509590148926	3	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	24691	10.114234583513786	3.850951789495248	1.7305578006536777	0.1771855481852571	3.3230254223566957	2.25848416779223	0.10450878252657247
22	4	without	3	False	FacebookAI/roberta-base	0.9962157607078552	0.0054698446765542	4	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	57243	10.955078112430767	3.32472795319135	-3.319258108514796	27.639837190247135	2.508030563224414	-2.5025607185478598	12.213729875071929
23	5	hesitation.	3	False	FacebookAI/roberta-base	0.669998049736023	0.6748878434300423	5	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	414	6.028278520230698	6.408059504124859	-5.733171660694817	308.9475930379556	6.898459689039742	-6.223571845609699	504.50202093823776
24	0	He	4	False	FacebookAI/roberta-base	0.452859491109848	1.1428645849227903	0	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	622141	13.340923641485727	1.831597847587883	-0.6887332626650926	1.99119161824811	1.873471863441361	-0.7306072785185707	2.0763411422605147
25	1	followed	4	False	FacebookAI/roberta-base	0.1180930137634277	3.082004308700561	1	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	11223	9.325809621782296	4.344370593032311	-1.2623662843317498	3.533773514732371	4.360111781084139	-1.2781074723835784	3.5898394224727257
26	2	the	4	False	FacebookAI/roberta-base	0.7816962599754333	0.3553198873996734	2	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	6500900	15.687451340644257	0.36307396011145876	-0.007754072711785354	1.00778421338756	0.6392157956081483	-0.28389590820847493	1.3282946589857145
27	3	command	4	False	FacebookAI/roberta-base	0.0127405608072876	6.294427394866943	3	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	4722	8.460199469896118	4.886094087599536	1.4083333072674078	0.24455053427614937	5.547357387161705	0.7470700077052381	0.4737526126817288
28	4	without	4	False	FacebookAI/roberta-base	0.9985092282295228	0.0021523043978959	4	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	57243	10.955078112430767	3.32472795319135	-3.322575648793454	27.731685734803417	2.508030563224414	-2.505878258826518	12.254316702878018
29	5	hesitation.	4	False	FacebookAI/roberta-base	0.7586451768875122	0.4106292799115181	5	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	414	6.028278520230698	6.408059504124859	-5.997430224213341	402.39340287822995	6.898459689039742	-6.4878304091282235	657.0961856930247
30	0	The	5	False	FacebookAI/roberta-base	0.650015652179718	0.6214536428451538	0	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	6500900	15.687451340644257	0.36307396011145876	0.25837968273369505	0.7723019467183843	0.6392157956081483	-0.017762152762994532	1.0179208379361608
31	1	general	5	False	FacebookAI/roberta-base	5.274304930935614e-05	14.21065902709961	1	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	24827	10.119727327533543	3.847514273797607	10.363144753302002	3.157500430764231e-05	3.316465997249933	10.894193029849676	1.8565732227053922e-05
