sentid	pairid	condition	comparison	sentence	ROI
1	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
2	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
3	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3
4	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3
5	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
6	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
7	4	order_meaning1_syn1	expected	She refused to obey the order.	5
8	4	order_meaning1_syn1	unexpected	She refused to obey the command	5
9	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4
10	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4
11	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4
12	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4
13	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3
14	7	order_meaning1_syn2	unexpected	He followed the instruction without hesitation.	3
15	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4
16	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4
17	9	order_meaning1_syn2	expected	She refused to obey the order.	5
18	9	order_meaning1_syn2	unexpected	She refused to obey the instruction	5
19	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4
20	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4
21	11	order_meaning2_syn1	expected	The files were organized in alphabetical order.	6
22	11	order_meaning2_syn1	unexpected	The files were organized in alphabetical arrangement	6
23	12	order_meaning2_syn1	expected	Please keep the documents in the right order.	7
24	12	order_meaning2_syn1	unexpected	Please keep the documents in the right arrangement	7
25	13	order_meaning2_syn1	expected	The books were lined up in a neat order.	8
26	13	order_meaning2_syn1	unexpected	The books were lined up in a neat arrangement	8
27	14	order_meaning2_syn1	expected	He listed the steps in the correct order.	7
28	14	order_meaning2_syn1	unexpected	He listed the steps in the correct arrangement	7
29	15	order_meaning2_syn1	expected	The teacher asked us to number the items in order.	9
30	15	order_meaning2_syn1	unexpected	The teacher asked us to number the items in arrangement	9
31	16	order_meaning2_syn2	expected	The files were organized in alphabetical order.	6
32	16	order_meaning2_syn2	unexpected	The files were organized in alphabetical sequence	6
33	17	order_meaning2_syn2	expected	Please keep the documents in the right order.	7
34	17	order_meaning2_syn2	unexpected	Please keep the documents in the right sequence	7
35	18	order_meaning2_syn2	expected	The books were lined up in a neat order.	8
36	18	order_meaning2_syn2	unexpected	The books were lined up in a neat sequence	8
37	19	order_meaning2_syn2	expected	He listed the steps in the correct order.	7
38	19	order_meaning2_syn2	unexpected	He listed the steps in the correct sequence	7
39	20	order_meaning2_syn2	expected	The teacher asked us to number the items in order.	9
40	20	order_meaning2_syn2	unexpected	The teacher asked us to number the items in sequence	9
41	21	capital_meaning1_syn1	expected	Paris is the capital of France.	3
42	21	capital_meaning1_syn1	unexpected	Paris is the metropolis of France.	3
43	22	capital_meaning1_syn1	expected	The capital is home to the country’s government.	1
44	22	capital_meaning1_syn1	unexpected	The metropolis is home to the country’s government.	1
45	23	capital_meaning1_syn1	expected	We spent two days exploring the capital.	6
46	23	capital_meaning1_syn1	unexpected	We spent two days exploring the metropolis	6
47	24	capital_meaning1_syn1	expected	London is the most well known capital in the United Kingdom.	6
48	24	capital_meaning1_syn1	unexpected	London is the most well known metropolis in the United Kingdom.	6
49	25	capital_meaning1_syn1	expected	The capital attracts millions of tourists each year.	1
50	25	capital_meaning1_syn1	unexpected	The metropolis attracts millions of tourists each year.	1
51	26	capital_meaning1_syn2	expected	Paris is the capital of France.	3
52	26	capital_meaning1_syn2	unexpected	Paris is the city of France.	3
53	27	capital_meaning1_syn2	expected	The capital is home to the country’s government.	1
54	27	capital_meaning1_syn2	unexpected	The city is home to the country’s government.	1
55	28	capital_meaning1_syn2	expected	We spent two days exploring the capital.	6
56	28	capital_meaning1_syn2	unexpected	We spent two days exploring the city	6
57	29	capital_meaning1_syn2	expected	London is the most well known capital in the United Kingdom.	6
58	29	capital_meaning1_syn2	unexpected	London is the most well known city in the United Kingdom.	6
59	30	capital_meaning1_syn2	expected	The capital attracts millions of tourists each year.	1
60	30	capital_meaning1_syn2	unexpected	The city attracts millions of tourists each year.	1
61	31	capital_meaning2_syn1	expected	He invested all his capital in the new company.	4
62	31	capital_meaning2_syn1	unexpected	He invested all his assets in the new company.	4
63	32	capital_meaning2_syn1	expected	The firm raised capital to expand its operations.	3
64	32	capital_meaning2_syn1	unexpected	The firm raised assets to expand its operations.	3
65	33	capital_meaning2_syn1	expected	They lost a large amount of capital during the crisis.	6
66	33	capital_meaning2_syn1	unexpected	They lost a large amount of assets during the crisis.	6
67	34	capital_meaning2_syn1	expected	The entrepreneur used his capital to start the business.	4
68	34	capital_meaning2_syn1	unexpected	The entrepreneur used his assets to start the business.	4
69	35	capital_meaning2_syn1	expected	Foreign capital plays a major role in local growth.	1
70	35	capital_meaning2_syn1	unexpected	Foreign assets plays a major role in local growth.	1
71	36	capital_meaning2_syn2	expected	He invested all his capital in the new company.	4
72	36	capital_meaning2_syn2	unexpected	He invested all his wealth in the new company.	4
73	37	capital_meaning2_syn2	expected	The firm raised capital to expand its operations.	3
74	37	capital_meaning2_syn2	unexpected	The firm raised wealth to expand its operations.	3
75	38	capital_meaning2_syn2	expected	They lost a large amount of capital during the crisis.	6
76	38	capital_meaning2_syn2	unexpected	They lost a large amount of wealth during the crisis.	6
77	39	capital_meaning2_syn2	expected	The entrepreneur used his capital to start the business.	4
78	39	capital_meaning2_syn2	unexpected	The entrepreneur used his wealth to start the business.	4
79	40	capital_meaning2_syn2	expected	Foreign capital plays a major role in local growth.	1
80	40	capital_meaning2_syn2	unexpected	Foreign wealth plays a major role in local growth.	1
81	41	sentence_meaning1_syn1	expected	The judge delivered a harsh sentence after the trial.	5
82	41	sentence_meaning1_syn1	unexpected	The judge delivered a harsh judgment after the trial.	5
83	42	sentence_meaning1_syn1	expected	He appealed the sentence given by the court.	3
84	42	sentence_meaning1_syn1	unexpected	He appealed the judgment given by the court.	3
85	43	sentence_meaning1_syn1	expected	The sentence was reduced due to good behavior.	1
86	43	sentence_meaning1_syn1	unexpected	The judgment was reduced due to good behavior.	1
87	44	sentence_meaning1_syn1	expected	The jury’s verdict influenced the final sentence.	6
88	44	sentence_meaning1_syn1	unexpected	The jury’s verdict influenced the final judgment	6
89	45	sentence_meaning1_syn1	expected	The sentence reflected the seriousness of the crime.	1
90	45	sentence_meaning1_syn1	unexpected	The judgment reflected the seriousness of the crime.	1
91	46	sentence_meaning1_syn2	expected	The judge delivered a harsh sentence after the trial.	5
92	46	sentence_meaning1_syn2	unexpected	The judge delivered a harsh decision after the trial.	5
93	47	sentence_meaning1_syn2	expected	He appealed the sentence given by the court.	3
94	47	sentence_meaning1_syn2	unexpected	He appealed the decision given by the court.	3
95	48	sentence_meaning1_syn2	expected	The sentence was reduced due to good behavior.	1
96	48	sentence_meaning1_syn2	unexpected	The decision was reduced due to good behavior.	1
97	49	sentence_meaning1_syn2	expected	The jury’s verdict influenced the final sentence.	6
98	49	sentence_meaning1_syn2	unexpected	The jury’s verdict influenced the final decision	6
99	50	sentence_meaning1_syn2	expected	The sentence reflected the seriousness of the crime.	1
100	50	sentence_meaning1_syn2	unexpected	The decision reflected the seriousness of the crime.	1
101	51	sentence_meaning2_syn1	expected	Each student had to write a complete sentence on the board.	7
102	51	sentence_meaning2_syn1	unexpected	Each student had to write a complete clause on the board.	7
