Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	log_freq
0	0	The	1	False	FacebookAI/roberta-base	0.96859210729599	0.046038880944252	0	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	6500900	15.687451340644257
1	1	captain	1	False	FacebookAI/roberta-base	0.1735622584819793	2.526474952697754	1	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	3968	8.286269452783065
2	2	gave	1	False	FacebookAI/roberta-base	0.6407376527786255	0.642194390296936	2	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	19334	9.869672204041397
3	3	an	1	False	FacebookAI/roberta-base	0.1229027807712555	3.024410486221313	3	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	435700	12.984711507260117
4	4	order	1	False	FacebookAI/roberta-base	0.9915716648101808	0.0122110554948449	4	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	24691	10.114234583513786
5	5	to	1	False	FacebookAI/roberta-base	0.9988481998443604	0.0016626298893243	5	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	3042375	14.928149347056001
6	6	fire	1	False	FacebookAI/roberta-base	0.0422908253967762	4.563511371612549	6	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	15897	9.673948594133059
7	7	the	1	False	FacebookAI/roberta-base	0.6545588970184326	0.6114051342010498	7	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	6500900	15.687451340644257
8	8	engines.	1	False	FacebookAI/roberta-base	0.4285039914539083	4.9229257851839066	8	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4	3336	8.112827478751374
9	0	The	2	False	FacebookAI/roberta-base	0.9619061946868896	0.0560318678617477	0	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	6500900	15.687451340644257
10	1	captain	2	False	FacebookAI/roberta-base	0.0978178307414054	3.3537585735321045	1	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	3968	8.286269452783065
11	2	gave	2	False	FacebookAI/roberta-base	0.4324315786361694	1.209456205368042	2	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	19334	9.869672204041397
12	3	an	2	False	FacebookAI/roberta-base	0.0002786203694995	11.809412002563477	3	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	435700	12.984711507260117
13	4	command	2	False	FacebookAI/roberta-base	6.056854908820242e-05	14.01107120513916	4	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	4722	8.460199469896118
14	5	to	2	False	FacebookAI/roberta-base	0.9895538091659546	0.0151499258354306	5	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	3042375	14.928149347056001
15	6	fire	2	False	FacebookAI/roberta-base	0.0532858967781066	4.2301025390625	6	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	15897	9.673948594133059
16	7	the	2	False	FacebookAI/roberta-base	0.6455936431884766	0.631301760673523	7	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	6500900	15.687451340644257
17	8	engines.	2	False	FacebookAI/roberta-base	0.374690945202019	5.193747371435165	8	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4	3336	8.112827478751374
18	0	He	3	False	FacebookAI/roberta-base	0.4683234691619873	1.0944228172302246	0	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	622141	13.340923641485727
19	1	followed	3	False	FacebookAI/roberta-base	0.1706204563379287	2.5511374473571777	1	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	11223	9.325809621782296
20	2	the	3	False	FacebookAI/roberta-base	0.798460066318512	0.3247078359127044	2	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	6500900	15.687451340644257
21	3	order	3	False	FacebookAI/roberta-base	0.0208832509815692	5.581509590148926	3	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	24691	10.114234583513786
22	4	without	3	False	FacebookAI/roberta-base	0.9962157607078552	0.0054698446765542	4	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	57243	10.955078112430767
23	5	hesitation.	3	False	FacebookAI/roberta-base	0.669998049736023	0.6748878434300423	5	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3	414	6.028278520230698
24	0	He	4	False	FacebookAI/roberta-base	0.452859491109848	1.1428645849227903	0	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	622141	13.340923641485727
25	1	followed	4	False	FacebookAI/roberta-base	0.1180930137634277	3.082004308700561	1	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	11223	9.325809621782296
