	sentid	pairid	sentence	roi
0	1	1	"
"	0
1	2	2	"The captain gave an order to fire the engines.
"	0
2	3	3	"The captain gave a command to fire the engines.
"	0
3	4	4	"The captain gave an instruction to fire the engines.
"	0
4	5	5	"
"	0
5	6	6	"He followed the order without hesitation.
"	0
6	7	7	"He followed the command without hesitation.
"	0
7	8	8	"He followed the instruction without hesitation.
"	0
8	9	9	"
"	0
9	10	10	"The general issued an order to move forward.
"	0
10	11	11	"The general issued a command to move forward.
"	0
11	12	12	"The general issued an instruction to move forward.
"	0
12	13	13	"
"	0
13	14	14	"She refused to obey the order.
"	0
14	15	15	"She refused to obey the command.
"	0
15	16	16	"She refused to obey the instruction.
"	0
16	17	17	"
"	0
17	18	18	"The manager gave an order to stop production.
"	0
18	19	19	"The manager gave a command to stop production.
"	0
19	20	20	"The manager gave an instruction to stop production.
"	0
20	21	21	"
"	0
21	22	22	"
"	0
22	23	23	"The files were organized in alphabetical order.
"	0
23	24	24	"The files were organized in alphabetical arrangement.
"	0
24	25	25	"The files were organized in alphabetical sequence.
"	0
25	26	26	"
"	0
26	27	27	"Please keep the documents in the right order.
"	0
27	28	28	"Please keep the documents in the right arrangement.
"	0
28	29	29	"Please keep the documents in the right sequence.
"	0
29	30	30	"
"	0
30	31	31	"The books were lined up in a neat order.
"	0
31	32	32	"The books were lined up in a neat arrangement.
"	0
32	33	33	"The books were lined up in a neat sequence.
"	0
33	34	34	"
"	0
34	35	35	"He listed the steps in the correct order.
"	0
35	36	36	"He listed the steps in the correct arrangement.
"	0
36	37	37	"He listed the steps in the correct sequence.
"	0
37	38	38	"
"	0
38	39	39	"The teacher asked us to number the items in order.
"	0
39	40	40	"The teacher asked us to number the items in arrangement.
"	0
40	41	41	"The teacher asked us to number the items in sequence.
"	0
41	42	42	"
"	0
42	43	43	"
"	0
43	44	44	"Paris is the capital of France.
"	0
44	45	45	"Paris is the metropolis of France.
"	0
45	46	46	"Paris is the city of France.
"	0
46	47	47	"
"	0
47	48	48	"The capital is home to the country’s government.
"	0
48	49	49	"The metropolis is home to the country’s government.
"	0
49	50	50	"The city is home to the country’s government.
"	0
50	51	51	"
"	0
51	52	52	"We spent two days exploring the capital.
"	0
52	53	53	"We spent two days exploring the metropolis.
"	0
53	54	54	"We spent two days exploring the city.
"	0
54	55	55	"
"	0
55	56	56	"London is the most well known capital in the United Kingdom.
"	0
56	57	57	"London is the most well known metropolis in the United Kingdom.
"	0
57	58	58	"London is the most well known city in the United Kingdom.
"	0
58	59	59	"
"	0
59	60	60	"The capital attracts millions of tourists each year.
"	0
60	61	61	"The metropolis attracts millions of tourists each year.
"	0
61	62	62	"The city attracts millions of tourists each year.
"	0
62	63	63	"
"	0
63	64	64	"
"	0
64	65	65	"He invested all his capital in the new company.
"	0
65	66	66	"He invested all his assets in the new company.
"	0
66	67	67	"He invested all his wealth in the new company.
"	0
67	68	68	"
"	0
68	69	69	"The firm raised capital to expand its operations.
"	0
69	70	70	"The firm raised assets to expand its operations.
"	0
70	71	71	"The firm raised wealth to expand its operations.
"	0
71	72	72	"
"	0
72	73	73	"They lost a large amount of capital during the crisis.
"	0
73	74	74	"They lost a large amount of assets during the crisis.
"	0
74	75	75	"They lost a large amount of wealth during the crisis.
"	0
75	76	76	"
"	0
76	77	77	"The entrepreneur used his capital to start the business.
"	0
77	78	78	"The entrepreneur used his assets to start the business.
"	0
78	79	79	"The entrepreneur used his wealth to start the business.
"	0
79	80	80	"
"	0
80	81	81	"Foreign capital plays a major role in local growth.
"	0
81	82	82	"Foreign assets play a major role in local growth.
"	0
82	83	83	"Foreign wealth plays a major role in local growth.
"	0
83	84	84	"
"	0
84	85	85	"
"	0
85	86	86	"The judge delivered a harsh sentence after the trial.
"	0
86	87	87	"The judge delivered a harsh judgment after the trial.
"	0
87	88	88	"The judge delivered a harsh decision after the trial.
"	0
88	89	89	"
"	0
89	90	90	"He appealed the sentence given by the court.
"	0
90	91	91	"He appealed the judgment given by the court.
"	0
91	92	92	"He appealed the decision given by the court.
"	0
92	93	93	"
"	0
93	94	94	"The sentence was reduced due to good behavior.
"	0
94	95	95	"The judgment was reduced due to good behavior.
"	0
95	96	96	"The decision was reduced due to good behavior.
"	0
96	97	97	"
"	0
97	98	98	"The jury’s verdict influenced the final sentence.
"	0
98	99	99	"The jury’s verdict influenced the final judgment.
"	0
99	100	100	"The jury’s verdict influenced the final decision.
"	0
100	101	101	"
"	0
101	102	102	"The sentence reflected the seriousness of the crime.
"	0
102	103	103	"The judgment reflected the seriousness of the crime.
"	0
103	104	104	"The decision reflected the seriousness of the crime.
"	0
104	105	105	"
"	0
105	106	106	"
"	0
106	107	107	"Each student had to write a complete sentence on the board.
"	0
107	108	108	"Each student had to write a complete clause on the board.
"	0
108	109	109	"Each student had to write a complete phrase on the board.
"	0
109	110	110	"
"	0
110	111	111	"That sentence doesn’t have a subject or a verb.
"	0
111	112	112	"That clause doesn’t have a subject or a verb.
"	0
112	113	113	"That phrase doesn’t have a subject or a verb.
"	0
113	114	114	"
"	0
114	115	115	"Please correct the grammar in this sentence.
"	0
115	116	116	"Please correct the grammar in this clause.
"	0
116	117	117	"Please correct the grammar in this phrase.
"	0
117	118	118	"
"	0
118	119	119	"The sentence ended with an exclamation mark.
"	0
119	120	120	"The clause ended with an exclamation mark.
"	0
120	121	121	"The phrase ended with an exclamation mark.
"	0
121	122	122	"
"	0
122	123	123	"She wrote a long sentence full of descriptive words.
"	0
123	124	124	"She wrote a long clause full of descriptive words.
"	0
124	125	125	"She wrote a long phrase full of descriptive words.
"	0
125	126	126	"
"	0
126	127	127	"
"	0
127	128	128	"
"	0
128	129	129	"She goes to the gym every day to stay fit.
"	0
129	130	130	"She goes to the gym every day to stay healthy.
"	0
130	131	131	"She goes to the gym every day to stay athletic.
"	0
131	132	132	"
"	0
132	133	133	"After months of training, he finally felt fit again.
"	0
133	134	134	"After months of training, he finally felt healthy again.
"	0
134	135	135	"After months of training, he finally felt athletic again.
"	0
135	136	136	"
"	0
136	137	137	"The coach said she was fit enough to compete.
"	0
137	138	138	"The coach said she was healthy enough to compete.
"	0
138	139	139	"The coach said she was athletic enough to compete.
"	0
139	140	140	"
"	0
140	141	141	"He eats well to keep his body fit.
"	0
141	142	142	"He eats well to keep his body healthy.
"	0
142	143	143	"He eats well to keep his body athletic.
"	0
143	144	144	"
"	0
144	145	145	"They admire people who are strong and fit.
"	0
145	146	146	"They admire people who are strong and healthy.
"	0
