	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI
0	0	The	1	False	google-bert/bert-base-cased	0.9309173226356506	0.1032750010490417	0	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
1	1	captain	1	False	google-bert/bert-base-cased	0.1429813653230667	2.806100845336914	1	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
2	2	gave	1	False	google-bert/bert-base-cased	0.4428698122501373	1.175045371055603	2	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
3	3	an	1	False	google-bert/bert-base-cased	0.0769896507263183	3.6991915702819824	3	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
4	4	order	1	False	google-bert/bert-base-cased	0.9795783162117004	0.0297672785818576	4	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
5	5	to	1	False	google-bert/bert-base-cased	0.9978675842285156	0.0030796714127063	5	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
6	6	fire	1	False	google-bert/bert-base-cased	0.0273065194487571	5.194610595703125	6	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
7	7	the	1	False	google-bert/bert-base-cased	0.6684563159942627	0.5810948014259338	7	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
8	8	engines.	1	False	google-bert/bert-base-cased	0.4866343047469853	3.467427095398307	8	1	order_meaning1_syn1	expected	The captain gave an order to fire the engines.	4
9	0	The	2	False	google-bert/bert-base-cased	0.9148476719856262	0.128396525979042	0	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
10	1	captain	2	False	google-bert/bert-base-cased	0.1701076030731201	2.555480480194092	1	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
11	2	gave	2	False	google-bert/bert-base-cased	0.3803745210170746	1.3945075273513794	2	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
12	3	an	2	False	google-bert/bert-base-cased	0.0001787462533684	12.449799537658691	3	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
13	4	command	2	False	google-bert/bert-base-cased	0.0002792481682263	11.806164741516112	4	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
14	5	to	2	False	google-bert/bert-base-cased	0.9965031147003174	0.0050537912175059	5	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
15	6	fire	2	False	google-bert/bert-base-cased	0.020015301182866	5.642752647399902	6	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
16	7	the	2	False	google-bert/bert-base-cased	0.6702579259872437	0.5772116780281067	7	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
17	8	engines.	2	False	google-bert/bert-base-cased	0.48250801232643425	3.6279735267162327	8	1	order_meaning1_syn1	unexpected	The captain gave an command to fire the engines.	4
18	0	He	3	False	google-bert/bert-base-cased	0.2747034728527069	1.8640528917312624	0	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3
19	1	followed	3	False	google-bert/bert-base-cased	0.0152454739436507	6.035475254058838	1	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3
20	2	the	3	False	google-bert/bert-base-cased	0.4037773013114929	1.30836820602417	2	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3
21	3	order	3	False	google-bert/bert-base-cased	0.0088685108348727	6.817092418670654	3	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3
22	4	without	3	False	google-bert/bert-base-cased	0.9889506697654724	0.0160295199602842	4	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3
23	5	hesitation.	3	False	google-bert/bert-base-cased	0.6975908130407333	0.6609820798039436	5	2	order_meaning1_syn1	expected	He followed the order without hesitation.	3
24	0	He	4	False	google-bert/bert-base-cased	0.252813845872879	1.983852505683899	0	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3
25	1	followed	4	False	google-bert/bert-base-cased	0.01834137737751	5.768754005432129	1	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3
26	2	the	4	False	google-bert/bert-base-cased	0.2689265012741089	1.8947161436080933	2	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3
27	3	command	4	False	google-bert/bert-base-cased	0.0018495299154892	9.078625679016112	3	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3
28	4	without	4	False	google-bert/bert-base-cased	0.989250898361206	0.015591662377119	4	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3
29	5	hesitation.	4	False	google-bert/bert-base-cased	0.7353232353925705	0.5363647332414985	5	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3
30	0	The	5	False	google-bert/bert-base-cased	0.9049994349479676	0.1440112143754959	0	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
31	1	general	5	False	google-bert/bert-base-cased	0.0077317091636359	7.014997005462647	1	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
32	2	issued	5	False	google-bert/bert-base-cased	0.3223790824413299	1.6331700086593628	2	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
33	3	an	5	False	google-bert/bert-base-cased	0.7053899168968201	0.5035071969032288	3	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
34	4	order	5	False	google-bert/bert-base-cased	0.9871593713760376	0.01864505559206	4	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
35	5	to	5	False	google-bert/bert-base-cased	0.9984405636787416	0.0022515587043017	5	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
36	6	move	5	False	google-bert/bert-base-cased	0.6572554707527161	0.6054738759994507	6	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
37	7	forward.	5	False	google-bert/bert-base-cased	0.5943993777036667	1.054412879049778	7	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4
38	0	The	6	False	google-bert/bert-base-cased	0.9046685695648192	0.1445387601852417	0	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
39	1	general	6	False	google-bert/bert-base-cased	0.0284005831927061	5.137935638427734	1	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
40	2	issued	6	False	google-bert/bert-base-cased	0.3493027687072754	1.5174500942230225	2	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
41	3	an	6	False	google-bert/bert-base-cased	0.0007148187141865	10.450135231018066	3	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
42	4	command	6	False	google-bert/bert-base-cased	0.0001002686185529	13.283842086791992	4	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
43	5	to	6	False	google-bert/bert-base-cased	0.9973809123039246	0.0037834683898836	5	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
44	6	move	6	False	google-bert/bert-base-cased	0.6461577415466309	0.630041778087616	6	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
45	7	forward.	6	False	google-bert/bert-base-cased	0.6058247536420822	0.9964376315474509	7	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4
46	0	She	7	False	google-bert/bert-base-cased	0.1827875822782516	2.451760053634644	0	4	order_meaning1_syn1	expected	She refused to obey the order.	5
47	1	refused	7	False	google-bert/bert-base-cased	0.0752793252468109	3.731602430343628	1	4	order_meaning1_syn1	expected	She refused to obey the order.	5
48	2	to	7	False	google-bert/bert-base-cased	0.9997521042823792	0.000357679586159	2	4	order_meaning1_syn1	expected	She refused to obey the order.	5
49	3	obey	7	False	google-bert/bert-base-cased	0.3374442756175995	1.5672787427902222	3	4	order_meaning1_syn1	expected	She refused to obey the order.	5
50	4	the	7	False	google-bert/bert-base-cased	0.3534828722476959	1.5002877712249756	4	4	order_meaning1_syn1	expected	She refused to obey the order.	5
51	5	order.	7	False	google-bert/bert-base-cased	0.5430116765201092	1.6473920065909624	5	4	order_meaning1_syn1	expected	She refused to obey the order.	5
52	0	She	8	False	google-bert/bert-base-cased	0.1281798332929611	2.963758707046509	0	4	order_meaning1_syn1	unexpected	She refused to obey the command	5
53	1	refused	8	False	google-bert/bert-base-cased	0.1620832085609436	2.625193357467652	1	4	order_meaning1_syn1	unexpected	She refused to obey the command	5
54	2	to	8	False	google-bert/bert-base-cased	0.999620795249939	0.0005471450276672	2	4	order_meaning1_syn1	unexpected	She refused to obey the command	5
55	3	obey	8	False	google-bert/bert-base-cased	0.2850606143474579	1.8106592893600464	3	4	order_meaning1_syn1	unexpected	She refused to obey the command	5
56	4	the	8	False	google-bert/bert-base-cased	0.3072403371334076	1.7025604248046875	4	4	order_meaning1_syn1	unexpected	She refused to obey the command	5
